image_index,turns,task_type,instructions,format_instructions,bg_consistency,unchanged_objects,available_objects,all_objects
140,3,"['position_change', 'subject_remove', 'text_change']","['Change the position of plastic white hair clip to below of cotton patterned shirt.', 'Remove cotton patterned shirt', ""Add text 'SMILE' on the image""]","['Change the position of [plastic white hair clip] to [below] of [cotton patterned shirt].', 'Remove [cotton patterned shirt]', ""Add text '[SMILE]' on the image""]",True,[],['plastic white hair clip'],"['plastic white hair clip', 'cotton patterned shirt', 'text']"
141,1,['subject_replace'],['Replace leather pink bag with backpack'],['Replace [leather pink bag] with [backpack]'],True,"['wool maroon coat', 'cotton gray shirt', 'leather black jacket', 'wooden brown bridge', 'stone gray wall']","['wool maroon coat', 'cotton gray shirt', 'leather black jacket', 'wooden brown bridge', 'stone gray wall', 'backpack']","['wool maroon coat', 'cotton gray shirt', 'leather black jacket', 'leather pink bag', 'wooden brown bridge', 'stone gray wall', 'backpack']"
141,2,"['subject_replace', 'background_change']","['Replace leather pink bag with backpack', 'Change the background to garden, remain the wool maroon coat, cotton gray shirt, leather black jacket, backpack unchanged']","['Replace [leather pink bag] with [backpack]', 'Change the background to [garden]']",False,"['wool maroon coat', 'cotton gray shirt', 'leather black jacket']","['wool maroon coat', 'cotton gray shirt', 'leather black jacket']","['wool maroon coat', 'cotton gray shirt', 'leather black jacket', 'leather pink bag', 'wooden brown bridge', 'stone gray wall', 'backpack']"
141,3,"['subject_replace', 'background_change', 'subject_remove']","['Replace leather pink bag with backpack', 'Change the background to garden, remain the wool maroon coat, cotton gray shirt, leather black jacket, backpack unchanged', 'Remove cotton gray shirt']","['Replace [leather pink bag] with [backpack]', 'Change the background to [garden]', 'Remove [cotton gray shirt]']",False,"['wool maroon coat', 'leather black jacket']","['wool maroon coat', 'leather black jacket']","['wool maroon coat', 'cotton gray shirt', 'leather black jacket', 'leather pink bag', 'wooden brown bridge', 'stone gray wall', 'backpack']"
142,1,['count_change'],['Change the count of fabric red chair to 3.'],['Change the count of [fabric red chair] to [3].'],True,"['knit white sweater', 'wooden bookshelf', 'fabric yellow curtain']","['knit white sweater', 'fabric red chair', 'wooden bookshelf', 'fabric yellow curtain']","['knit white sweater', 'fabric red chair', 'wooden bookshelf', 'fabric yellow curtain']"
142,2,"['count_change', 'subject_replace']","['Change the count of fabric red chair to 3.', 'Replace knit white sweater with blouse']","['Change the count of [fabric red chair] to [3].', 'Replace [knit white sweater] with [blouse]']",True,"['wooden bookshelf', 'fabric yellow curtain']","['fabric red chair', 'wooden bookshelf', 'fabric yellow curtain', 'blouse']","['knit white sweater', 'fabric red chair', 'wooden bookshelf', 'fabric yellow curtain', 'blouse']"
142,3,"['count_change', 'subject_replace', 'background_change']","['Change the count of fabric red chair to 3.', 'Replace knit white sweater with blouse', 'Change the background to library, remain the blouse unchanged']","['Change the count of [fabric red chair] to [3].', 'Replace [knit white sweater] with [blouse]', 'Change the background to [library]']",False,[],[],"['knit white sweater', 'fabric red chair', 'wooden bookshelf', 'fabric yellow curtain', 'blouse']"
143,1,['count_change'],['Change the count of plastic green hair ties to 3'],['Change the count of [plastic green hair ties] to [3]'],True,"['cotton white shirt', 'green plant', 'concrete bench', 'metal gray poles']","['cotton white shirt', 'plastic green hair ties', 'green plant', 'concrete bench', 'metal gray poles']","['cotton white shirt', 'plastic green hair ties', 'green plant', 'concrete bench', 'metal gray poles']"
143,2,"['count_change', 'subject_replace']","['Change the count of plastic green hair ties to 3', 'Replace concrete bench with picnic table']","['Change the count of [plastic green hair ties] to [3]', 'Replace [concrete bench] with [picnic table]']",True,"['cotton white shirt', 'green plant', 'metal gray poles']","['cotton white shirt', 'plastic green hair ties', 'green plant', 'metal gray poles', 'picnic table']","['cotton white shirt', 'plastic green hair ties', 'green plant', 'concrete bench', 'metal gray poles', 'picnic table']"
143,3,"['count_change', 'subject_replace', 'subject_remove']","['Change the count of plastic green hair ties to 3', 'Replace concrete bench with picnic table', 'Remove green plant']","['Change the count of [plastic green hair ties] to [3]', 'Replace [concrete bench] with [picnic table]', 'Remove [green plant]']",True,"['cotton white shirt', 'metal gray poles']","['cotton white shirt', 'plastic green hair ties', 'metal gray poles', 'picnic table']","['cotton white shirt', 'plastic green hair ties', 'green plant', 'concrete bench', 'metal gray poles', 'picnic table']"
144,1,['subject_remove'],['Remove metallic pearl earring'],['Remove [metallic pearl earring]'],True,['gold necklace'],['gold necklace'],"['metallic pearl earring', 'gold necklace']"
144,2,"['subject_remove', 'subject_add']","['Remove metallic pearl earring', 'Add pendant on the right of gold necklace']","['Remove [metallic pearl earring]', 'Add [pendant] on the [right] of [gold necklace]']",True,['gold necklace'],"['gold necklace', 'pendant']","['metallic pearl earring', 'gold necklace', 'pendant']"
144,3,"['subject_remove', 'subject_add', 'color_alter']","['Remove metallic pearl earring', 'Add pendant on the right of gold necklace', 'Change the color of pendant to blue']","['Remove [metallic pearl earring]', 'Add [pendant] on the [right] of [gold necklace]', 'Change the color of [pendant] to [blue]']",True,['gold necklace'],"['gold necklace', 'blue pendant']","['metallic pearl earring', 'gold necklace', 'pendant', 'blue pendant']"
145,1,['subject_add'],['Add boutonniere on the left of cotton white shirt'],['Add [boutonniere] on the [left] of [cotton white shirt]'],True,"['cotton white jacket', 'metal black brooch', 'cotton white shirt', 'silver necklace']","['cotton white jacket', 'metal black brooch', 'cotton white shirt', 'silver necklace', 'boutonniere']","['cotton white jacket', 'metal black brooch', 'cotton white shirt', 'silver necklace', 'boutonniere']"
145,2,"['subject_add', 'position_change']","['Add boutonniere on the left of cotton white shirt', 'Change the position of metal black brooch to below of boutonniere.']","['Add [boutonniere] on the [left] of [cotton white shirt]', 'Change the position of [metal black brooch] to [below] of [boutonniere].']",True,"['cotton white jacket', 'cotton white shirt', 'silver necklace']","['cotton white jacket', 'metal black brooch', 'cotton white shirt', 'silver necklace', 'boutonniere']","['cotton white jacket', 'metal black brooch', 'cotton white shirt', 'silver necklace', 'boutonniere']"
145,3,"['subject_add', 'position_change', 'subject_remove']","['Add boutonniere on the left of cotton white shirt', 'Change the position of metal black brooch to below of boutonniere.', 'Remove metal black brooch']","['Add [boutonniere] on the [left] of [cotton white shirt]', 'Change the position of [metal black brooch] to [below] of [boutonniere].', 'Remove [metal black brooch]']",True,"['cotton white jacket', 'cotton white shirt', 'silver necklace']","['cotton white jacket', 'cotton white shirt', 'silver necklace', 'boutonniere']","['cotton white jacket', 'metal black brooch', 'cotton white shirt', 'silver necklace', 'boutonniere']"
147,1,['text_change'],"[""Add text 'PAWS' on the image""]","[""Add text '[PAWS]' on the image""]",True,"['cotton black shirt', 'leather black choker']","['cotton black shirt', 'leather black choker']","['cotton black shirt', 'leather black choker', 'text']"
147,2,"['text_change', 'background_change']","[""Add text 'PAWS' on the image"", 'Change the background to park, remain the cotton black shirt, leather black choker unchanged']","[""Add text '[PAWS]' on the image"", 'Change the background to [park]']",False,"['cotton black shirt', 'leather black choker']","['cotton black shirt', 'leather black choker']","['cotton black shirt', 'leather black choker', 'text']"
147,3,"['text_change', 'background_change', 'subject_add']","[""Add text 'PAWS' on the image"", 'Change the background to park, remain the cotton black shirt, leather black choker unchanged', 'Add shirt on the below of leather black choker']","[""Add text '[PAWS]' on the image"", 'Change the background to [park]', 'Add [shirt] on the [below] of [leather black choker]']",False,"['cotton black shirt', 'leather black choker']","['cotton black shirt', 'leather black choker', 'shirt']","['cotton black shirt', 'leather black choker', 'text', 'shirt']"
148,1,['subject_replace'],['Replace plush brown teddy bear with stuffed reindeer'],['Replace [plush brown teddy bear] with [stuffed reindeer]'],True,"['furry brown dress', 'white stockings', 'green artificial Christmas tree']","['furry brown dress', 'white stockings', 'green artificial Christmas tree', 'stuffed reindeer']","['furry brown dress', 'plush brown teddy bear', 'white stockings', 'green artificial Christmas tree', 'stuffed reindeer']"
148,2,"['subject_replace', 'position_change']","['Replace plush brown teddy bear with stuffed reindeer', 'Change the position of stuffed reindeer to below of furry brown dress.']","['Replace [plush brown teddy bear] with [stuffed reindeer]', 'Change the position of [stuffed reindeer] to [below] of [furry brown dress].']",True,"['white stockings', 'green artificial Christmas tree']","['furry brown dress', 'white stockings', 'green artificial Christmas tree', 'stuffed reindeer']","['furry brown dress', 'plush brown teddy bear', 'white stockings', 'green artificial Christmas tree', 'stuffed reindeer']"
148,3,"['subject_replace', 'position_change', 'count_change']","['Replace plush brown teddy bear with stuffed reindeer', 'Change the position of stuffed reindeer to below of furry brown dress.', 'Change the count of stuffed reindeer to 4']","['Replace [plush brown teddy bear] with [stuffed reindeer]', 'Change the position of [stuffed reindeer] to [below] of [furry brown dress].', 'Change the count of [stuffed reindeer] to [4]']",True,"['white stockings', 'green artificial Christmas tree']","['furry brown dress', 'white stockings', 'green artificial Christmas tree', 'stuffed reindeer']","['furry brown dress', 'plush brown teddy bear', 'white stockings', 'green artificial Christmas tree', 'stuffed reindeer']"
149,1,['count_change'],['Change the count of black cap to 4'],['Change the count of [black cap] to [4]'],True,"['white belt', 'white strap', 'blue badge', 'black shoes']","['white belt', 'white strap', 'blue badge', 'black shoes', 'black cap']","['white belt', 'white strap', 'blue badge', 'black shoes', 'black cap']"
149,2,"['count_change', 'subject_replace']","['Change the count of black cap to 4', 'Replace black shoes with boots']","['Change the count of [black cap] to [4]', 'Replace [black shoes] with [boots]']",True,"['white belt', 'white strap', 'blue badge']","['white belt', 'white strap', 'blue badge', 'black cap', 'boots']","['white belt', 'white strap', 'blue badge', 'black shoes', 'black cap', 'boots']"
149,3,"['count_change', 'subject_replace', 'subject_remove']","['Change the count of black cap to 4', 'Replace black shoes with boots', 'Remove blue badge']","['Change the count of [black cap] to [4]', 'Replace [black shoes] with [boots]', 'Remove [blue badge]']",True,"['white belt', 'white strap']","['white belt', 'white strap', 'black cap', 'boots']","['white belt', 'white strap', 'blue badge', 'black shoes', 'black cap', 'boots']"
150,1,['subject_replace'],['Replace metal fence with hedge'],['Replace [metal fence] with [hedge]'],True,"['cotton white shirt', 'beige shorts', 'white shoes', 'concrete bench']","['cotton white shirt', 'beige shorts', 'white shoes', 'concrete bench', 'hedge']","['cotton white shirt', 'beige shorts', 'white shoes', 'metal fence', 'concrete bench', 'hedge']"
150,2,"['subject_replace', 'material_alter']","['Replace metal fence with hedge', 'Change the material of white shoes to ""leather""']","['Replace [metal fence] with [hedge]', 'Change the material of [white shoes] to [""leather""]']",True,"['cotton white shirt', 'beige shorts', 'concrete bench']","['cotton white shirt', 'beige shorts', 'concrete bench', 'hedge', '""leather"" white shoes']","['cotton white shirt', 'beige shorts', 'white shoes', 'metal fence', 'concrete bench', 'hedge', '""leather"" white shoes']"
150,3,"['subject_replace', 'material_alter', 'position_change']","['Replace metal fence with hedge', 'Change the material of white shoes to ""leather""', 'Change the position of concrete bench to below of cotton white shirt.']","['Replace [metal fence] with [hedge]', 'Change the material of [white shoes] to [""leather""]', 'Change the position of [concrete bench] to [below] of [cotton white shirt].']",True,['beige shorts'],"['cotton white shirt', 'beige shorts', 'concrete bench', 'hedge', '""leather"" white shoes']","['cotton white shirt', 'beige shorts', 'white shoes', 'metal fence', 'concrete bench', 'hedge', '""leather"" white shoes']"
151,1,['subject_replace'],['Replace plastic white bottle with glass bottle'],['Replace [plastic white bottle] with [glass bottle]'],True,"['cotton white shirt', 'wooden white shelf']","['cotton white shirt', 'wooden white shelf', 'glass bottle']","['cotton white shirt', 'wooden white shelf', 'plastic white bottle', 'glass bottle']"
151,2,"['subject_replace', 'subject_add']","['Replace plastic white bottle with glass bottle', 'Add plant on the right of glass bottle']","['Replace [plastic white bottle] with [glass bottle]', 'Add [plant] on the [right] of [glass bottle]']",True,"['cotton white shirt', 'wooden white shelf']","['cotton white shirt', 'wooden white shelf', 'glass bottle', 'plant']","['cotton white shirt', 'wooden white shelf', 'plastic white bottle', 'glass bottle', 'plant']"
151,3,"['subject_replace', 'subject_add', 'subject_remove']","['Replace plastic white bottle with glass bottle', 'Add plant on the right of glass bottle', 'Remove glass bottle']","['Replace [plastic white bottle] with [glass bottle]', 'Add [plant] on the [right] of [glass bottle]', 'Remove [glass bottle]']",True,"['cotton white shirt', 'wooden white shelf']","['cotton white shirt', 'wooden white shelf', 'plant']","['cotton white shirt', 'wooden white shelf', 'plastic white bottle', 'glass bottle', 'plant']"
152,1,['background_change'],"['Change the background to forest, remain the cotton blue shirt, cotton brown shorts, fabric black cap, fabric red and black backpack, leather brown shoes unchanged']",['Change the background to [forest]'],False,"['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes']","['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes']","['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes', 'asphalt road']"
152,2,"['background_change', 'subject_add']","['Change the background to forest, remain the cotton blue shirt, cotton brown shorts, fabric black cap, fabric red and black backpack, leather brown shoes unchanged', 'Add backpack on the left of cotton brown shorts']","['Change the background to [forest]', 'Add [backpack] on the [left] of [cotton brown shorts]']",False,"['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes']","['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes', 'backpack']","['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes', 'asphalt road', 'backpack']"
152,3,"['background_change', 'subject_add', 'position_change']","['Change the background to forest, remain the cotton blue shirt, cotton brown shorts, fabric black cap, fabric red and black backpack, leather brown shoes unchanged', 'Add backpack on the left of cotton brown shorts', '""Change the position of fabric black cap to below of cotton blue shirt""']","['Change the background to [forest]', 'Add [backpack] on the [left] of [cotton brown shorts]', '""Change the position of [fabric black cap] to [below] of [cotton blue shirt]""']",False,"['cotton brown shorts', 'fabric red and black backpack', 'leather brown shoes']","['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes', 'backpack']","['cotton blue shirt', 'cotton brown shorts', 'fabric black cap', 'fabric red and black backpack', 'leather brown shoes', 'asphalt road', 'backpack']"
153,1,['color_alter'],['Change the color of fur white and black cat to orange'],['Change the color of [fur white and black cat] to [orange]'],True,[],['fur orange and black cat'],"['fur white and black cat', 'fur orange and black cat']"
153,2,"['color_alter', 'text_change']","['Change the color of fur white and black cat to orange', ""Add text 'NAP' on the image""]","['Change the color of [fur white and black cat] to [orange]', ""Add text '[NAP]' on the image""]",True,[],['fur orange and black cat'],"['fur white and black cat', 'fur orange and black cat', 'text']"
153,3,"['color_alter', 'text_change', 'subject_add']","['Change the color of fur white and black cat to orange', ""Add text 'NAP' on the image"", 'Add pillow on the left of fur orange and black cat']","['Change the color of [fur white and black cat] to [orange]', ""Add text '[NAP]' on the image"", 'Add [pillow] on the [left] of [fur orange and black cat]']",True,[],"['fur orange and black cat', 'pillow']","['fur white and black cat', 'fur orange and black cat', 'text', 'pillow']"
154,1,['color_alter'],['Change the color of fabric maroon pants to blue'],['Change the color of [fabric maroon pants] to [blue]'],True,"['cotton blue shirt', 'metal gold necklace', 'metal blue motorcycle', 'plastic beige container']","['cotton blue shirt', 'metal gold necklace', 'metal blue motorcycle', 'plastic beige container', 'blue fabric maroon pants']","['cotton blue shirt', 'fabric maroon pants', 'metal gold necklace', 'metal blue motorcycle', 'plastic beige container', 'blue fabric maroon pants']"
154,2,"['color_alter', 'background_change']","['Change the color of fabric maroon pants to blue', 'Change the background to garage, remain the cotton blue shirt, metal gold necklace, metal blue motorcycle, blue fabric maroon pants unchanged']","['Change the color of [fabric maroon pants] to [blue]', 'Change the background to [garage]']",False,"['cotton blue shirt', 'metal gold necklace', 'metal blue motorcycle']","['cotton blue shirt', 'metal gold necklace', 'metal blue motorcycle']","['cotton blue shirt', 'fabric maroon pants', 'metal gold necklace', 'metal blue motorcycle', 'plastic beige container', 'blue fabric maroon pants']"
154,3,"['color_alter', 'background_change', 'material_alter']","['Change the color of fabric maroon pants to blue', 'Change the background to garage, remain the cotton blue shirt, metal gold necklace, metal blue motorcycle, blue fabric maroon pants unchanged', 'Change the material of cotton blue shirt to polyester']","['Change the color of [fabric maroon pants] to [blue]', 'Change the background to [garage]', 'Change the material of [cotton blue shirt] to [polyester]']",False,"['metal gold necklace', 'metal blue motorcycle']","['metal gold necklace', 'metal blue motorcycle', 'polyester blue shirt']","['cotton blue shirt', 'fabric maroon pants', 'metal gold necklace', 'metal blue motorcycle', 'plastic beige container', 'blue fabric maroon pants', 'polyester blue shirt']"
155,1,['subject_remove'],['Remove wooden brown chair'],['Remove [wooden brown chair]'],True,"['cotton white shirt', 'metal earring']","['cotton white shirt', 'metal earring']","['cotton white shirt', 'metal earring', 'wooden brown chair']"
155,2,"['subject_remove', 'color_alter']","['Remove wooden brown chair', 'Change the color of cotton white shirt to blue']","['Remove [wooden brown chair]', 'Change the color of [cotton white shirt] to [blue]']",True,['metal earring'],"['metal earring', 'cotton blue shirt']","['cotton white shirt', 'metal earring', 'wooden brown chair', 'cotton blue shirt']"
155,3,"['subject_remove', 'color_alter', 'material_alter']","['Remove wooden brown chair', 'Change the color of cotton white shirt to blue', 'Change the material of cotton blue shirt to polyester']","['Remove [wooden brown chair]', 'Change the color of [cotton white shirt] to [blue]', 'Change the material of [cotton blue shirt] to [polyester]']",True,['metal earring'],"['metal earring', 'polyester blue shirt']","['cotton white shirt', 'metal earring', 'wooden brown chair', 'cotton blue shirt', 'polyester blue shirt']"
156,1,['subject_replace'],['Replace fabric blue shoes with sandals'],['Replace [fabric blue shoes] with [sandals]'],True,"['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand']","['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand', 'sandals']","['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand', 'fabric blue shoes', 'sandals']"
156,2,"['subject_replace', 'position_change']","['Replace fabric blue shoes with sandals', 'Change the position of plastic pink wand to left of fabric black and white robe.']","['Replace [fabric blue shoes] with [sandals]', 'Change the position of [plastic pink wand] to [left] of [fabric black and white robe].']",True,['fabric yellow headscarf'],"['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand', 'sandals']","['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand', 'fabric blue shoes', 'sandals']"
156,3,"['subject_replace', 'position_change', 'text_change']","['Replace fabric blue shoes with sandals', 'Change the position of plastic pink wand to left of fabric black and white robe.', ""Add text '童装' on the image""]","['Replace [fabric blue shoes] with [sandals]', 'Change the position of [plastic pink wand] to [left] of [fabric black and white robe].', ""Add text '[童装]' on the image""]",True,['fabric yellow headscarf'],"['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand', 'sandals']","['fabric black and white robe', 'fabric yellow headscarf', 'plastic pink wand', 'fabric blue shoes', 'sandals', 'text']"
157,1,['background_change'],"['Change the background to park, remain the leather black jacket, cotton black shirt, wool plaid coat, cotton red turtleneck, gold earring unchanged']",['Change the background to [park]'],False,"['leather black jacket', 'cotton black shirt', 'wool plaid coat', 'cotton red turtleneck', 'gold earring']","['leather black jacket', 'cotton black shirt', 'wool plaid coat', 'cotton red turtleneck', 'gold earring']","['leather black jacket', 'cotton black shirt', 'wool plaid coat', 'cotton red turtleneck', 'gold earring']"
157,2,"['background_change', 'position_change']","['Change the background to park, remain the leather black jacket, cotton black shirt, wool plaid coat, cotton red turtleneck, gold earring unchanged', 'Change the position of leather black jacket to left of wool plaid coat.']","['Change the background to [park]', 'Change the position of [leather black jacket] to [left] of [wool plaid coat].']",False,"['cotton black shirt', 'cotton red turtleneck', 'gold earring']","['leather black jacket', 'cotton black shirt', 'wool plaid coat', 'cotton red turtleneck', 'gold earring']","['leather black jacket', 'cotton black shirt', 'wool plaid coat', 'cotton red turtleneck', 'gold earring']"
157,3,"['background_change', 'position_change', 'color_alter']","['Change the background to park, remain the leather black jacket, cotton black shirt, wool plaid coat, cotton red turtleneck, gold earring unchanged', 'Change the position of leather black jacket to left of wool plaid coat.', 'Change the color of cotton black shirt to blue']","['Change the background to [park]', 'Change the position of [leather black jacket] to [left] of [wool plaid coat].', 'Change the color of [cotton black shirt] to [blue]']",False,"['cotton red turtleneck', 'gold earring']","['leather black jacket', 'wool plaid coat', 'cotton red turtleneck', 'gold earring', 'cotton blue shirt']","['leather black jacket', 'cotton black shirt', 'wool plaid coat', 'cotton red turtleneck', 'gold earring', 'cotton blue shirt']"
158,1,['color_alter'],['Change the color of cotton gray shirt to blue'],['Change the color of [cotton gray shirt] to [blue]'],True,[],['cotton blue shirt'],"['cotton gray shirt', 'cotton blue shirt']"
158,2,"['color_alter', 'subject_add']","['Change the color of cotton gray shirt to blue', 'Add necklace on the below of cotton blue shirt']","['Change the color of [cotton gray shirt] to [blue]', 'Add [necklace] on the [below] of [cotton blue shirt]']",True,[],"['cotton blue shirt', 'necklace']","['cotton gray shirt', 'cotton blue shirt', 'necklace']"
158,3,"['color_alter', 'subject_add', 'background_change']","['Change the color of cotton gray shirt to blue', 'Add necklace on the below of cotton blue shirt', 'Change the background to library, remain the cotton blue shirt, necklace unchanged']","['Change the color of [cotton gray shirt] to [blue]', 'Add [necklace] on the [below] of [cotton blue shirt]', 'Change the background to [library]']",False,[],[],"['cotton gray shirt', 'cotton blue shirt', 'necklace']"
159,1,['position_change'],"['""Change the position of fabric red blanket to below of ceramic white figurine""']","['""Change the position of [fabric red blanket] to [below] of [ceramic white figurine]""']",True,['wooden brown shelf'],"['fabric red blanket', 'ceramic white figurine', 'wooden brown shelf']","['fabric red blanket', 'ceramic white figurine', 'wooden brown shelf']"
159,2,"['position_change', 'text_change']","['""Change the position of fabric red blanket to below of ceramic white figurine""', ""Add text 'NAP' on the image""]","['""Change the position of [fabric red blanket] to [below] of [ceramic white figurine]""', ""Add text '[NAP]' on the image""]",True,['wooden brown shelf'],"['fabric red blanket', 'ceramic white figurine', 'wooden brown shelf']","['fabric red blanket', 'ceramic white figurine', 'wooden brown shelf', 'text']"
159,3,"['position_change', 'text_change', 'count_change']","['""Change the position of fabric red blanket to below of ceramic white figurine""', ""Add text 'NAP' on the image"", '""Change the count of fabric red blanket to 4""']","['""Change the position of [fabric red blanket] to [below] of [ceramic white figurine]""', ""Add text '[NAP]' on the image"", '""Change the count of [fabric red blanket] to [4]""']",True,['wooden brown shelf'],"['fabric red blanket', 'ceramic white figurine', 'wooden brown shelf']","['fabric red blanket', 'ceramic white figurine', 'wooden brown shelf', 'text']"
160,1,['subject_add'],['Add necklace on the below of cotton white shirt'],['Add [necklace] on the [below] of [cotton white shirt]'],True,['cotton white shirt'],"['cotton white shirt', 'necklace']","['cotton white shirt', 'necklace']"
160,2,"['subject_add', 'color_alter']","['Add necklace on the below of cotton white shirt', 'Change the color of necklace to blue']","['Add [necklace] on the [below] of [cotton white shirt]', 'Change the color of [necklace] to [blue]']",True,['cotton white shirt'],"['cotton white shirt', 'blue necklace']","['cotton white shirt', 'necklace', 'blue necklace']"
160,3,"['subject_add', 'color_alter', 'material_alter']","['Add necklace on the below of cotton white shirt', 'Change the color of necklace to blue', 'Change the material of blue necklace to glass']","['Add [necklace] on the [below] of [cotton white shirt]', 'Change the color of [necklace] to [blue]', 'Change the material of [blue necklace] to [glass]']",True,['cotton white shirt'],"['cotton white shirt', 'glass blue necklace']","['cotton white shirt', 'necklace', 'blue necklace', 'glass blue necklace']"
161,1,['text_change'],"[""Add text 'RELAX' on the image""]","[""Add text '[RELAX]' on the image""]",True,"['cotton gray shirt', 'concrete wall', 'metal fence']","['cotton gray shirt', 'concrete wall', 'metal fence']","['cotton gray shirt', 'concrete wall', 'metal fence', 'text']"
161,2,"['text_change', 'count_change']","[""Add text 'RELAX' on the image"", 'Change the count of cotton gray shirt to 5']","[""Add text '[RELAX]' on the image"", 'Change the count of [cotton gray shirt] to [5]']",True,"['concrete wall', 'metal fence']","['cotton gray shirt', 'concrete wall', 'metal fence']","['cotton gray shirt', 'concrete wall', 'metal fence', 'text']"
161,3,"['text_change', 'count_change', 'position_change']","[""Add text 'RELAX' on the image"", 'Change the count of cotton gray shirt to 5', 'Change the position of cotton gray shirt to left of concrete wall.']","[""Add text '[RELAX]' on the image"", 'Change the count of [cotton gray shirt] to [5]', 'Change the position of [cotton gray shirt] to [left] of [concrete wall].']",True,['metal fence'],"['cotton gray shirt', 'concrete wall', 'metal fence']","['cotton gray shirt', 'concrete wall', 'metal fence', 'text']"
162,1,['material_alter'],['Change the material of metal gold watch to wood'],['Change the material of [metal gold watch] to [wood]'],True,"['wool gray jacket', 'knit blue sweater', 'knit yellow scarf']","['wool gray jacket', 'knit blue sweater', 'knit yellow scarf', 'wood gold watch']","['wool gray jacket', 'knit blue sweater', 'knit yellow scarf', 'metal gold watch', 'wood gold watch']"
162,2,"['material_alter', 'position_change']","['Change the material of metal gold watch to wood', 'Change the position of knit yellow scarf to below of knit blue sweater.']","['Change the material of [metal gold watch] to [wood]', 'Change the position of [knit yellow scarf] to [below] of [knit blue sweater].']",True,['wool gray jacket'],"['wool gray jacket', 'knit blue sweater', 'knit yellow scarf', 'wood gold watch']","['wool gray jacket', 'knit blue sweater', 'knit yellow scarf', 'metal gold watch', 'wood gold watch']"
162,3,"['material_alter', 'position_change', 'subject_add']","['Change the material of metal gold watch to wood', 'Change the position of knit yellow scarf to below of knit blue sweater.', 'Add scarf on the above of wool gray jacket']","['Change the material of [metal gold watch] to [wood]', 'Change the position of [knit yellow scarf] to [below] of [knit blue sweater].', 'Add [scarf] on the [above] of [wool gray jacket]']",True,['wool gray jacket'],"['wool gray jacket', 'knit blue sweater', 'knit yellow scarf', 'wood gold watch', 'scarf']","['wool gray jacket', 'knit blue sweater', 'knit yellow scarf', 'metal gold watch', 'wood gold watch', 'scarf']"
163,1,['subject_replace'],['Replace fabric black chair with stool'],['Replace [fabric black chair] with [stool]'],True,"['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton']","['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton', 'stool']","['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton', 'fabric black chair', 'stool']"
163,2,"['subject_replace', 'text_change']","['Replace fabric black chair with stool', ""Add text 'CHILL' on the image""]","['Replace [fabric black chair] with [stool]', ""Add text '[CHILL]' on the image""]",True,"['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton']","['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton', 'stool']","['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton', 'fabric black chair', 'stool', 'text']"
163,3,"['subject_replace', 'text_change', 'count_change']","['Replace fabric black chair with stool', ""Add text 'CHILL' on the image"", 'Change the count of plastic white skeleton to 4']","['Replace [fabric black chair] with [stool]', ""Add text '[CHILL]' on the image"", 'Change the count of [plastic white skeleton] to [4]']",True,"['cotton white t-shirt', 'plastic black headphones']","['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton', 'stool']","['cotton white t-shirt', 'plastic black headphones', 'plastic white skeleton', 'fabric black chair', 'stool', 'text']"
164,1,['subject_add'],['Add shoes on the below of spandex black shorts'],['Add [shoes] on the [below] of [spandex black shorts]'],True,['spandex black shorts'],"['spandex black shorts', 'shoes']","['spandex black shorts', 'shoes']"
164,2,"['subject_add', 'subject_remove']","['Add shoes on the below of spandex black shorts', 'Remove spandex black shorts']","['Add [shoes] on the [below] of [spandex black shorts]', 'Remove [spandex black shorts]']",True,[],['shoes'],"['spandex black shorts', 'shoes']"
164,3,"['subject_add', 'subject_remove', 'subject_replace']","['Add shoes on the below of spandex black shorts', 'Remove spandex black shorts', 'Replace shoes with flip-flops']","['Add [shoes] on the [below] of [spandex black shorts]', 'Remove [spandex black shorts]', 'Replace [shoes] with [flip-flops]']",True,[],['flip-flops'],"['spandex black shorts', 'shoes', 'flip-flops']"
